"","id","record","species","Lineage_Name","parasiteGenus","order","family","genus","Pr","Jetz.species","match","tip"
"101","Acrocephalus arundinaceus_PAHIS1",1,"Acrocephalus arundinaceus","PAHIS1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"102","Acrocephalus arundinaceus_PHSIB1",1,"Acrocephalus arundinaceus","PHSIB1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"103","Acrocephalus arundinaceus_RTSR1",4,"Acrocephalus arundinaceus","RTSR1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"104","Acrocephalus arundinaceus_RW2",1,"Acrocephalus arundinaceus","RW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"105","Acrocephalus arundinaceus_SGS1",5,"Acrocephalus arundinaceus","SGS1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"106","Acrocephalus arundinaceus_SW2",2,"Acrocephalus arundinaceus","SW2","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"107","Acrocephalus arundinaceus_SW5",1,"Acrocephalus arundinaceus","SW5","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"108","Acrocephalus arundinaceus_SYBOR10",1,"Acrocephalus arundinaceus","SYBOR10","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"109","Acrocephalus arundinaceus_WW2",1,"Acrocephalus arundinaceus","WW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"110","Acrocephalus baeticatus_ARW1",3,"Acrocephalus baeticatus","ARW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_baeticatus","yes","Acrocephalus baeticatus"
"111","Acrocephalus baeticatus_ARW2",1,"Acrocephalus baeticatus","ARW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_baeticatus","yes","Acrocephalus baeticatus"
"112","Acrocephalus baeticatus_GRW04",1,"Acrocephalus baeticatus","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_baeticatus","yes","Acrocephalus baeticatus"
"113","Acrocephalus baeticatus_GRW06",1,"Acrocephalus baeticatus","GRW06","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_baeticatus","yes","Acrocephalus baeticatus"
"114","Acrocephalus baeticatus_MW1",2,"Acrocephalus baeticatus","MW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_baeticatus","yes","Acrocephalus baeticatus"
"115","Acrocephalus baeticatus_RW1",1,"Acrocephalus baeticatus","RW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_baeticatus","yes","Acrocephalus baeticatus"
"116","Acrocephalus baeticatus_SW1",1,"Acrocephalus baeticatus","SW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_baeticatus","yes","Acrocephalus baeticatus"
"117","Acrocephalus dumetorum_ACDUM1",7,"Acrocephalus dumetorum","ACDUM1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_dumetorum","yes","Acrocephalus dumetorum"
"118","Acrocephalus dumetorum_ACDUM2",7,"Acrocephalus dumetorum","ACDUM2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_dumetorum","yes","Acrocephalus dumetorum"
"119","Acrocephalus dumetorum_ACDUM3",6,"Acrocephalus dumetorum","ACDUM3","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_dumetorum","yes","Acrocephalus dumetorum"
"120","Acrocephalus dumetorum_ACDUM4",4,"Acrocephalus dumetorum","ACDUM4","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_dumetorum","yes","Acrocephalus dumetorum"
"121","Acrocephalus dumetorum_ACDUM5",4,"Acrocephalus dumetorum","ACDUM5","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_dumetorum","yes","Acrocephalus dumetorum"
"122","Acrocephalus dumetorum_MW1",5,"Acrocephalus dumetorum","MW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_dumetorum","yes","Acrocephalus dumetorum"
"123","Acrocephalus dumetorum_SW2",4,"Acrocephalus dumetorum","SW2","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_dumetorum","yes","Acrocephalus dumetorum"
"124","Acrocephalus gracilirostris_GRW02",1,"Acrocephalus gracilirostris","GRW02","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_gracilirostris","yes","Acrocephalus gracilirostris"
"125","Acrocephalus gracilirostris_GRW04",1,"Acrocephalus gracilirostris","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_gracilirostris","yes","Acrocephalus gracilirostris"
"126","Acrocephalus gracilirostris_LSW1",1,"Acrocephalus gracilirostris","LSW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_gracilirostris","yes","Acrocephalus gracilirostris"
"127","Acrocephalus gracilirostris_LSW2",1,"Acrocephalus gracilirostris","LSW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_gracilirostris","yes","Acrocephalus gracilirostris"
"128","Acrocephalus gracilirostris_PLOVEL01",1,"Acrocephalus gracilirostris","PLOVEL01","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_gracilirostris","yes","Acrocephalus gracilirostris"
"129","Acrocephalus griseldis_BRW1",1,"Acrocephalus griseldis","BRW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_griseldis","yes","Acrocephalus griseldis"
"130","Acrocephalus melanopogon_GRW05",1,"Acrocephalus melanopogon","GRW05","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_melanopogon","yes","Acrocephalus melanopogon"
"131","Acrocephalus melanopogon_GRW11",1,"Acrocephalus melanopogon","GRW11","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_melanopogon","yes","Acrocephalus melanopogon"
"132","Acrocephalus melanopogon_PADOM02",1,"Acrocephalus melanopogon","PADOM02","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_melanopogon","yes","Acrocephalus melanopogon"
"133","Acrocephalus mendanae_GRW04",1,"Acrocephalus mendanae","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_mendanae","yes","Acrocephalus mendanae"
"134","Acrocephalus newtoni_ACNEW01",1,"Acrocephalus newtoni","ACNEW01","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,NA,NA,"Acrocephalus newtoni"
"135","Acrocephalus newtoni_ACNEW02",1,"Acrocephalus newtoni","ACNEW02","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,NA,NA,"Acrocephalus newtoni"
"136","Acrocephalus newtoni_FOMAD01",1,"Acrocephalus newtoni","FOMAD01","Leucocytozoon","Passeriformes","Sylviidae","Acrocephalus",0,NA,NA,"Acrocephalus newtoni"
"137","Acrocephalus newtoni_FOUMAD03",1,"Acrocephalus newtoni","FOUMAD03","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,NA,NA,"Acrocephalus newtoni"
